GlobalID,Note,Species,IndStatus,UnusualDis,HVNote,MoreImage,ParentGID,CreationDt,Creator,EditDate,Editor,MERGE_SRC
{ED2BF58E-5539-4835-97BB-9D1394806BFC},,Willow,hydrophyte,no,Mixed willows and cottonwoods,yes,{195DB4CB-28BD-4BB1-A672-F77B608BCCF0},6/13/2019 2:17,,6/13/2019 2:17,,hydrovegdata_3
{6CA0CCAB-8E6E-4C45-867C-3C954EB10969},,Willow,unsure,no,,no,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,hydrovegdata_3
{886304AD-C943-46BC-8201-603577F17606},,?,,no,,yes,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,hydrovegdata_3
{4A48B64F-459B-41B5-A566-554C432F3E6A},,?,,no,,yes,{154E678D-3747-49B3-9174-729254332606},6/21/2019 4:21,,6/21/2019 4:21,,hydrovegdata_3
{FD983AC1-56B6-41B9-91B9-1F387ED0A614},,Willow,unsure,yes,Only found at upstream section near culvert,,{C61EAE53-4AD7-4BEC-92E8-EDBD03091AD9},6/22/2019 0:05,,6/22/2019 0:05,,hydrovegdata_3
{562B6093-E6E0-4055-94D3-7FD73322419B},,Sweetclover,nonhydrophyte,no,,yes,{C61EAE53-4AD7-4BEC-92E8-EDBD03091AD9},6/22/2019 0:05,,6/22/2019 0:05,,hydrovegdata_3
{1A89F84A-D412-4A5B-8EB8-E024C798E067},,Sunflower,nonhydrophyte,no,,yes,{C61EAE53-4AD7-4BEC-92E8-EDBD03091AD9},6/22/2019 0:05,,6/22/2019 0:05,,hydrovegdata_3
{58C77AD9-AAD4-425A-AB0B-A825AEE9E81E},,Rough cockleburr,nonhydrophyte,no,,yes,{C61EAE53-4AD7-4BEC-92E8-EDBD03091AD9},6/22/2019 0:05,,6/22/2019 0:05,,hydrovegdata_3
{3B00FEED-6C1C-4EC6-B086-158133F6EB61},,Tamarisk,nonhydrophyte,no,,no,{C61EAE53-4AD7-4BEC-92E8-EDBD03091AD9},6/22/2019 0:05,,6/22/2019 0:05,,hydrovegdata_3
{80078C91-298B-47AC-ACCB-441AE5841E05},,Castor bean,nonhydrophyte,no,,no,{C61EAE53-4AD7-4BEC-92E8-EDBD03091AD9},6/22/2019 0:05,,6/22/2019 0:05,,hydrovegdata_3
{37841E5F-FE0C-4135-A1BC-6BBD66995E52},,Castor bean,nonhydrophyte,no,,yes,{68744FBF-49B6-4345-AD4B-196B11DB5F03},6/22/2019 0:05,,6/22/2019 0:05,,hydrovegdata_3
{6FE8486E-E958-4F1A-8086-B60C0223137D},,Tamarisks,nonhydrophyte,no,,yes,{68744FBF-49B6-4345-AD4B-196B11DB5F03},6/22/2019 0:05,,6/22/2019 0:05,,hydrovegdata_3
{DFC72BFB-4F1F-4721-9905-97E656939C09},,Tribulus terrestris,unsure,no,,yes,{68744FBF-49B6-4345-AD4B-196B11DB5F03},6/22/2019 0:14,,6/22/2019 0:14,,hydrovegdata_3
{C066F2BB-420B-40BB-AC2B-2B0B37000C96},,Desert dicoria,unsure,no,,yes,{68744FBF-49B6-4345-AD4B-196B11DB5F03},6/22/2019 0:14,,6/22/2019 0:14,,hydrovegdata_3
{FDCB5AA0-20E9-405C-BCAF-EBE02F51F9A8},,?,unsure,no,,no,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,hydrovegdata_3
{1FA973BC-700A-4550-9CE6-990009E37E0C},,?,unsure,no,,yes,{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},6/22/2019 0:43,,6/22/2019 0:43,,hydrovegdata_3
{2499BAB9-7B11-436F-973E-93A20815EFB6},,Catclaw Acacia,nonhydrophyte,no,,yes,{C9500F1D-2A9C-4A67-9BD5-FC33B7B90BF9},6/25/2019 2:15,,6/25/2019 2:15,,hydrovegdata_3
